Price,Date,Postcode,Property Type,New built indicator,Tenure Type
1131373,2024-06-26,JE,S,N,F
1505450,2024-02-01,HR,S,N,L
1716314,2024-10-20,CF,F,Y,L
116697,2024-06-10,EX,D,N,F
1345809,2024-07-17,WV,T,N,L
436310,2024-04-22,IV,S,N,F
574595,2024-12-09,ST,T,N,F
1916003,2024-08-20,CR,S,N,F
1083553,2024-02-24,TN,F,Y,L
531650,2024-01-12,NG,F,N,F
1175225,2024-04-14,LD,F,N,F
855661,2024-08-04,SA,D,N,L
1715432,2024-10-25,LU,D,N,F
1375031,2024-07-08,PH,S,N,L
1602771,2024-02-01,CT,F,N,L
1685427,2024-10-31,HR,D,Y,L
808865,2024-05-16,MK,S,Y,F
679110,2024-02-26,TF,T,N,F
272252,2024-04-12,RM,T,Y,L
934256,2024-07-28,RG,D,Y,F
1129059,2024-10-13,BR,F,N,F
481562,2024-04-14,RM,F,N,L
813498,2024-06-08,LN,D,Y,L
1263866,2024-01-19,GL,T,N,F
153314,2024-03-23,AL,D,Y,F
1785454,2024-11-10,IP,D,N,F
1497477,2024-10-10,SM,S,N,L
111563,2024-10-22,LS,F,N,F
870202,2024-05-27,TR,T,Y,F
952954,2024-12-09,B,D,N,F
1983619,2024-09-07,BH,F,Y,L
1875066,2024-04-10,OL,D,N,F
1705804,2024-05-01,JE,F,Y,L
1804886,2024-05-27,CT,F,Y,L
1628239,2024-04-05,CF,S,N,L
1183769,2024-11-09,WD,T,Y,L
823913,2024-03-31,PH,T,Y,F
400601,2024-04-23,DD,D,N,L
1644544,2024-06-09,HG,D,Y,L
781952,2024-02-12,PE,F,N,L
385547,2024-02-05,HU,F,N,L
307639,2024-10-27,PA,S,Y,F
370052,2024-02-21,RG,D,N,F
1002440,2024-10-27,OX,T,N,F
1597572,2024-11-22,GY,D,Y,L
1476482,2024-07-29,AB,F,N,F
1755874,2024-09-18,LU,S,Y,F
1032540,2024-02-17,CA,F,N,L
680518,2024-07-11,LN,S,N,L
1254482,2024-02-03,WV,D,Y,L
644064,2024-07-14,NG,S,Y,F
430651,2024-10-20,WC,T,Y,F
860311,2024-05-12,HG,F,N,F
742163,2024-03-15,JE,S,N,L
291858,2024-03-31,TQ,T,N,F
1745441,2024-07-14,SA,S,Y,L
996285,2024-06-22,RM,S,Y,L
414487,2024-02-13,DA,T,Y,F
1674962,2024-05-18,DE,D,N,F
1198003,2024-07-11,HS,S,Y,L
1634796,2024-11-09,GU,F,Y,F
848127,2024-07-19,BB,T,N,L
1955278,2024-02-20,PH,F,N,F
1459832,2024-08-02,CB,T,N,L
1595966,2024-05-18,KT,D,Y,F
1983065,2024-09-09,SS,T,N,L
1404635,2024-11-16,EH,T,N,F
580544,2024-10-25,CW,F,N,L
1304448,2024-02-24,GU,T,N,L
1144626,2024-08-28,BT,S,N,F
397607,2024-08-14,EN,S,Y,L
752842,2024-04-29,RH,T,Y,L
1665044,2024-10-05,EX,T,Y,L
1365962,2024-09-28,IP,S,Y,F
1532588,2024-04-10,KY,S,Y,L
1529982,2024-12-22,IG,T,Y,F
1902917,2024-05-31,B,T,N,F
1131134,2024-03-16,LD,D,Y,L
353668,2024-06-06,IG,S,N,F
885786,2024-06-13,SW,D,N,L
1244401,2024-04-03,ME,T,Y,L
1085596,2024-07-28,GU,T,N,F
1666195,2024-05-26,CA,T,Y,F
1850938,2024-07-25,BA,S,Y,F
1392442,2024-10-13,CB,D,Y,F
368970,2024-09-14,BS,T,N,F
985120,2024-09-09,SR,F,N,L
201936,2024-07-24,TW,F,N,L
1983071,2024-05-02,PA,D,N,L
364968,2024-09-19,BA,T,N,L
1203867,2024-09-19,CW,D,N,F
1924394,2024-01-03,OX,D,Y,L
1146404,2024-01-18,B,T,Y,L
1151476,2024-11-08,NE,F,Y,F
1697955,2024-05-02,EH,S,Y,F
1061435,2024-05-31,LE,T,Y,F
377287,2024-07-09,EX,T,N,F
849119,2024-10-19,SS,D,N,L
1038170,2024-01-14,HG,S,Y,L
389055,2024-08-06,LU,S,N,L
614831,2024-08-29,SP,D,Y,L
303612,2024-08-18,SS,D,Y,L
910071,2024-08-25,CM,D,Y,L
1917005,2024-12-23,MK,S,Y,L
1055013,2024-11-09,ZE,S,N,F
1678163,2024-08-25,IG,T,N,L
544067,2024-01-04,B,S,Y,L
